source,target,weight
1,39,1.0
1,45,1.0
1,52,1.0
1,59,1.0
1,106,1.0
1,123,1.0
1,168,1.0
6,113,0.4559964543301161
6,115,0.40544173983101006
10,157,0.4237017429892742
12,17,0.6454923979278536
13,103,0.47307294108102305
14,60,0.5327869496398143
18,80,0.4653108516233052
23,49,0.46403408912944566
23,66,0.6956008892012996
32,35,0.4192756196410538
34,114,0.46152391105366053
39,45,1.0
39,52,1.0
39,59,1.0
39,106,1.0
39,123,1.0
39,168,1.0
41,69,0.4330284465925925
45,52,1.0
45,59,1.0
45,106,1.0
45,123,1.0
45,168,1.0
49,66,0.4040090384019592
50,104,0.5118450117585949
51,56,0.41001774401537405
51,58,0.6082430075767333
51,90,0.5744540371477423
52,59,1.0
52,106,1.0
52,123,1.0
52,168,1.0
54,57,0.4226709343662034
57,101,0.4177157534135502
58,90,0.4372394276757796
59,106,1.0
59,123,1.0
59,168,1.0
63,74,0.4239754659304116
90,91,0.4082774130041455
92,115,0.43444551631660155
94,96,0.5139431891595255
106,123,1.0
106,168,1.0
110,163,0.42408908980606425
118,129,0.4007593910078029
118,133,0.41138279048966475
123,168,1.0
129,130,0.4305157079548163
129,133,0.48611957517180576
131,133,0.5939719128449984
140,141,0.4714584172190197
145,150,0.5816708436712269
151,152,0.46357854088581807
152,153,0.5420829862465986
154,155,0.6540006405200554
160,175,0.5178696639664817
162,170,0.42499707748120197
162,176,0.4324433793577589
174,175,0.4301975786633012
176,177,0.5238535340500394
